WORKS,ID,Title,Author,
WORKS,1,Concours de Larmes,Marvin M'Toumo,
WORKS,2,Qui a Peur,Davide-Christelle Sanvee,
WORKS,3,new project,author,
WORKS,4,Zizi Zozio,Marvin M'Toumo,
WORKS,5,Dona Lourdès,Némo Camus & Robson Ledesma,
,,,
SCENES,ID,Work_ID,Scene_Name,
SCENES,1,1,Scene 1,
SCENES,2,1,Scene 2,
SCENES,3,1,Scene 3,
SCENES,4,2,Lamp 1,
SCENES,5,2,Siffle 1,
SCENES,6,2,Baldwin 1,
SCENES,7,2,Shepperd 1,
SCENES,8,2,Hand 1,
SCENES,9,3,Grace chien kora,
SCENES,10,3,Oiseaux noirs,
SCENES,11,3,Le Dodo,
SCENES,12,3,Diablesse cacao,
SCENES,13,3,Vache noire,
SCENES,14,3,Elie épée,
SCENES,15,3,Oiseaux blancs,
SCENES,16,3,Poursuite DC danse,
SCENES,17,3,Poursuite DC coros,
SCENES,18,3,La Chatte au Soleil,
SCENES,19,3,Le Coton,
,,,
AUDIO,ID,Scene_ID,Audio_File,
,,,
VIDEOS,ID,Scene_ID,Video_File,
VIDEOS,1,1,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Elie.Concours.1.mp4,
VIDEOS,2,2,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Elie.Concours.2.mp4,
VIDEOS,3,3,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Elie.Concours.3.mp4,
VIDEOS,4,4,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/1.Lamp.1.mp4,
VIDEOS,5,5,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/2.Siffle.1.mp4,
VIDEOS,6,6,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/3.Baldwin.1.mp4,
VIDEOS,7,7,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/4.Shepperd.1.mp4,
VIDEOS,8,8,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/5.Hand.1.mp4,
VIDEOS,9,9,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/1.Grace.chien.kora.mp4,
VIDEOS,10,10,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/2.Oiseaux.noirs.mp4,
VIDEOS,11,11,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/3.Le.Dodo.mp4,
VIDEOS,12,12,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/4.diablesse.cacao.mp4,
VIDEOS,13,13,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/5.Vache.noire.mp4,
VIDEOS,14,14,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/6.Elie.epee.mp4,
VIDEOS,15,15,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/7.Oiseaux.blancs.mp4,
VIDEOS,16,16,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/8.Poursuite.DC.danse.mp4,
VIDEOS,17,17,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/9.Poursuite.DC.coros.mp4,
VIDEOS,18,18,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/10.La.Chatte.au.Soleil.mp4,
VIDEOS,19,19,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/11.Le.Coton.mp4,
,,,
CREDITS,ID,Work_ID,Role,Name
CREDITS,1,1,Direction,Marvin M’Toumo
CREDITS,2,1,Acting/Performance,Elie Autins
CREDITS,3,1,Light,Alessandra Domingues
CREDITS,4,1,Costumes,Marie Schaller
CREDITS,5,1,Make-up,Chaïm Vischel
CREDITS,6,2,Direction,Davide-Christelle Sanvee
CREDITS,7,2,Acting/Performance,Davide-Christelle Sanvee
CREDITS,8,2,Acting/Performance,Steven Schoch
CREDITS,9,2,Video,Dîlan Kîliç
CREDITS,10,2,Light,Florian Bach
CREDITS,11,2,Light,Luis Henkes
CREDITS,12,2,Costumes,Marie Schaller
CREDITS,13,2,Video production,Raphaël Piguet
CREDITS,14,3,Direction,
CREDITS,15,3,Acting/Performance,
CREDITS,16,3,Light,
CREDITS,17,3,Costumes,
CREDITS,18,3,Make-up,
,,,
,,,
SCENES,20,4,1.La Nuit,
SCENES,21,4,2.Gorge rouge,
SCENES,22,4,3.Intro Pleurs,
SCENES,23,4,4.End Song,
SCENES,24,4,5.Toux,
SCENES,25,4,6.Eteignez tout,
SCENES,26,5,1.Drone Postures,
SCENES,27,5,2.Organ Vinyl,
SCENES,28,5,3.Loop Felicidad,
SCENES,29,5,4.Piano Theme,
SCENES,30,5,5.Orfeu Granular,
SCENES,31,5,6,Firebase Cabelo,
,,,
VIDEOS,20,20,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/1.La.Nuit.mp4,
VIDEOS,21,21,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/2.Gorge.rouge.mp4,
VIDEOS,22,22,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/3.Intro.Pleurs.mp4,
VIDEOS,23,23,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/4.End.Song.mp4,
VIDEOS,24,24,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/5.Toux.mp4,
VIDEOS,25,25,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/6.Eteignez.tout.mp4,
VIDEOS,26,26,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/1.Drone.Postures.mp4,
VIDEOS,27,27,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/2.Organ.Vinyl.mp4,
VIDEOS,28,28,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/3.Loop.Felicidad.mp4,
VIDEOS,29,29,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/4.Piano.Theme.mp4,
VIDEOS,30,30,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/5.Orfeu.Granular.mp4,
VIDEOS,31,31,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/6.Freeze.Cabelo.mp4,
,,,
THUMBNAILS,ID,Scene_ID,Image_File,
THUMBNAILS,20,20,./assets/images/thumbnails/1.La Nuit.jpg,
THUMBNAILS,21,21,./assets/images/thumbnails/2.Gorge rouge.jpg,
THUMBNAILS,22,22,./assets/images/thumbnails/3.Intro Pleurs.jpg,
THUMBNAILS,23,23,./assets/images/thumbnails/4.End Song.jpg,
THUMBNAILS,24,24,./assets/images/thumbnails/5.Toux.jpg,
THUMBNAILS,25,25,./assets/images/thumbnails/6.Eteignez tout.jpg,
THUMBNAILS,26,26,./assets/images/thumbnails/1.Drone Postures.jpg,
THUMBNAILS,27,27,./assets/images/thumbnails/2.Organ Vinyl.jpg,
THUMBNAILS,28,28,./assets/images/thumbnails/3.Loop Felicidad.jpg,
THUMBNAILS,29,29,./assets/images/thumbnails/4.Piano Theme.jpg,
THUMBNAILS,30,30,./assets/images/thumbnails/5.Orfeu Granular.jpg,
THUMBNAILS,31,31,./assets/images/thumbnails/6.Freeze Cabelo.jpg,
,,,
,,,
SCENES,ID,Work_ID,Scene_Name,
SCENES,32,1,Jeremiades 1,
SCENES,33,1,Jeremiades 2,
SCENES,34,1,Jeremiades 3,
,,,
VIDEOS,ID,Scene_ID,Video_File,
VIDEOS,32,32,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Jeremiades.1.mp4,
VIDEOS,33,33,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Jeremiades.2.mp4,
VIDEOS,34,34,/api/proxy?url=https://github.com/dahemar/video-assets/releases/download/media-assets-2026-01-28/Jeremiades.3.mp4,
,,,
THUMBNAILS,ID,Scene_ID,Image_File,
THUMBNAILS,32,32,./assets/images/thumbnails/Jeremiades 1.jpg,
THUMBNAILS,33,33,./assets/images/thumbnails/Jeremiades 2.jpg,
THUMBNAILS,34,34,./assets/images/thumbnails/Jeremiades 3.jpg,
,,,
AUDIO,ID,Scene_ID,Audio_File,
